# d[Ang]  PE[eV]
2.5 -59341.2921052115
2.6 -59341.5961871403
2.7 -59341.8612478336
2.8 -59342.0875291814
2.9 -59342.2751786256
3 -59342.4243388106
3.1 -59342.5351521169
3.2 -59342.6077676408
3.3 -59342.6423410775
3.4 -59342.6390378007
3.5 -59342.5814533039
3.6 -59342.417498699
3.7 -59342.3021253089
3.8 -59342.1496533669
3.9 -59341.9603085518
4 -59341.7343345021
4.1 -59341.4719944765
4.2 -59341.1735747266
4.3 -59340.8283418592
4.4 -59340.4202985984
4.5 -59340.0160234735
4.6 -59339.5771450549
4.7 -59339.104142783
4.8 -59338.597552326
4.9 -59338.0580190346
5 -59337.4862634079
5.1 -59336.8831488346
5.2 -59336.2497163992
5.3 -59335.5872501745
5.4 -59334.8973806881
5.5 -59334.1822572427
5.6 -59333.4448611773
5.7 -59332.6896429317
5.8 -59331.8638120892
5.9 -59331.1041542168
6 -59330.3983600518
6.1 -59329.7305719772
6.2 -59329.0605809229
6.3 -59328.5875755095
6.4 -59328.156081424
6.5 -59328.0814755596
